city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
rourkela,2021,0.8813279315041764,0.4587511307320203,0.4539529056676086,0.45026016317449497,0.4887436859185759
rourkela,2022,0.8813279315041764,0.4477706224853807,0.45328209643060785,0.44407116428435467,0.5122438219256014
rourkela,2023,0.8813279315041764,0.5032228732198072,0.45313577917418907,0.4739762873761258,0.62273238924727
panaji,2021,0.8239406027992945,0.4611631684633449,0.46394235107533177,0.45946429500995495,0.5807240724678536
panaji,2022,0.8239406027992945,0.5164711273366935,0.49628838924537566,0.5131608681950074,0.6816540332567635
panaji,2023,0.8239406027992945,0.5601168458502709,0.5148510845811246,0.550079848027461,0.7194503145654213
tiruchirappalli,2021,0.921815196088771,0.4802662807842826,0.4660991993131046,0.471457386378362,0.5214869922240277
tiruchirappalli,2022,0.921815196088771,0.48274514384615347,0.4660188361182983,0.4764980987771223,0.6030904940442348
tiruchirappalli,2023,0.921815196088771,0.4891128074709793,0.46109685246573306,0.4777916995237169,0.5931949112637734
nalgonda,2021,0.8833308715248982,0.47806452740864663,0.4876190754652745,0.4750233204576501,0.49889375740194036
nalgonda,2022,0.8833308715248982,0.4809298712630957,0.49093933342472224,0.4796156485423276,0.5314889342398037
nalgonda,2023,0.8833308715248982,0.4827294278179191,0.4865624621188367,0.47930106519542776,0.5203084349575824
ahmedabad,2021,0.9336842913596695,0.5177991402943569,0.5087403315668594,0.5098042246494817,0.606330257526017
ahmedabad,2022,0.9336842913596695,0.5570050090780151,0.5098172390480076,0.5432258018446736,0.6847348690175394
ahmedabad,2023,0.9336842913596695,0.5626089696161605,0.48278894344278644,0.5320121294409955,0.6987530475432345
siliguri,2021,0.8624943986695054,0.464566884181423,0.45649293538524793,0.45724174625048714,0.5208560542293904
siliguri,2022,0.8624943986695054,0.4487973175726141,0.4490379130233579,0.44679078907514613,0.5650222671587003
siliguri,2023,0.8624943986695054,0.45572693591729646,0.4452258012492149,0.44977726970595855,0.6335075468562544
dewas,2021,0.8692263557088598,0.5461204702471003,0.5436334548976973,0.5405555774008259,0.6058229296377835
dewas,2022,0.8692263557088598,0.5717519971231847,0.5390940323551476,0.5628635472231737,0.6484168162616996
dewas,2023,0.8692263557088598,0.5736289389817215,0.5206232615637226,0.5545721891487156,0.644431914614956
dehradun,2021,0.8879428751426697,0.44334718049330835,0.45132551150172034,0.4419731807624043,0.5304810741749034
dehradun,2022,0.8879428751426697,0.4625841368934847,0.48202556963354865,0.4637115371918222,0.6387253629104828
dehradun,2023,0.8879428751426697,0.4614546317562086,0.44644809636808513,0.45415016142032955,0.5950531758784224
dhanbad,2021,0.9297692274149852,0.5144139996782398,0.5027006791366703,0.506328052009748,0.5619636034420579
dhanbad,2022,0.9297692274149852,0.5114931862251234,0.5103489608948273,0.5086303633730328,0.600385628842952
dhanbad,2023,0.9297692274149852,0.5134556409087089,0.5134967674740221,0.5093537796449559,0.5806922705115847
aurangabad,2021,0.9149909584277266,0.4982902293798495,0.464427651604718,0.48159479378221953,0.543205528936805
aurangabad,2022,0.9149909584277266,0.5082932348714878,0.47657971060174714,0.496267131642346,0.6015034532307719
aurangabad,2023,0.9149909584277266,0.5286663011533657,0.46938586160734347,0.502361398305384,0.6563856273549762
patiala,2021,0.8807918492702931,0.4930267580524218,0.49528680815869003,0.48864748916900186,0.5470685258749441
patiala,2022,0.8807918492702931,0.4815936445824444,0.5002342016435561,0.4826152090619225,0.5624425837248542
patiala,2023,0.8807918492702931,0.4823695341787977,0.49063366883479953,0.48149499816992847,0.5549252243194625
jammu,2021,0.9161993421097354,0.46925060172621186,0.4695269971279527,0.46449045440368886,0.5368100325999463
jammu,2022,0.9161993421097354,0.4752071536702056,0.4661685532415079,0.4702987900580929,0.5859065633493227
jammu,2023,0.9161993421097354,0.5054932869816018,0.43715767181964904,0.47780965518081553,0.6117707798392052
kohima,2021,0.8170898823271193,0.4917354491709868,0.49435135660864093,0.48929389660191636,0.5263228838856426
kohima,2022,0.8170898823271193,0.4938985495276397,0.5143129398186077,0.49513872775675133,0.5541234703352705
kohima,2023,0.8170898823271193,0.48536943601081556,0.5075996055945182,0.48826240564118095,0.5571087514916361
coimbatore,2021,0.9353263924111741,0.478227639648382,0.45680215588975764,0.46671763454426163,0.522333838372897
coimbatore,2022,0.9353263924111741,0.46664549686812506,0.4508554890559451,0.46039671459570275,0.6075530475715055
coimbatore,2023,0.9353263924111741,0.5429853448755352,0.44293384322889107,0.5079212792021173,0.7538598080765428
thoothukkudi,2021,0.9119070299751331,0.5258893996252153,0.5046843995897604,0.5148292918798322,0.5426819436961263
thoothukkudi,2022,0.9119070299751331,0.5152440633421093,0.5181664595850732,0.5126247372239078,0.5758803950357366
thoothukkudi,2023,0.9119070299751331,0.5204572358473055,0.5145944729709846,0.5150467578917711,0.5790799659852834
jalpaiguri,2021,0.8071030702761156,0.4741433246469706,0.48378467668600855,0.4729001676196116,0.46875710214483685
jalpaiguri,2022,0.8071030702761156,0.4659080354956013,0.4631800336099893,0.4625868122801779,0.5102920277046984
jalpaiguri,2023,0.8071030702761156,0.47718554969861005,0.4591260665397175,0.467597056594385,0.4941505596200404
chandigarh,2021,0.8930194811152484,0.49369914765617406,0.4904798876869851,0.4899681653616244,0.6177590048188875
chandigarh,2022,0.8930194811152484,0.5144515716233936,0.5443984677313872,0.5172583828947762,0.6918726457058401
chandigarh,2023,0.8930194811152484,0.5132310567265105,0.5170278073130954,0.5125354019790962,0.6360735355804815
haldia,2021,0.9038956818646815,0.6023282808910683,0.6060535633682783,0.600545497620065,0.6642719934162392
haldia,2022,0.9038956818646815,0.6199425517191554,0.6098610160265561,0.6151715374651993,0.7031430161264824
haldia,2023,0.9038956818646815,0.6128645009209684,0.6005292727962283,0.6057533162687361,0.6871071330166147
jodhpur,2021,0.9145679836616233,0.47128785829569364,0.45868121554505026,0.4613134899160107,0.5212869341874832
jodhpur,2022,0.9145679836616233,0.46560183549579115,0.4551596886514216,0.45949184399044646,0.5737029100409953
jodhpur,2023,0.9145679836616233,0.45971344511657863,0.45189478833866437,0.45271223694699514,0.5576786900017278
aizawl,2021,0.8968451826343318,0.5269985992134489,0.5394125828567302,0.5287141268940425,0.5480775473412889
aizawl,2022,0.8968451826343318,0.5483233785131156,0.5498189998527827,0.5456386971659473,0.563240468115116
aizawl,2023,0.8968451826343318,0.5305537193033731,0.5492451357213637,0.532915564503816,0.5484662084707669
amritsar,2021,0.8971636368656567,0.4494803486702674,0.4592422019753792,0.447594657843266,0.5335020117491599
amritsar,2022,0.8971636368656567,0.45575569937425053,0.47169340857773334,0.4563366639812547,0.5655335310562992
amritsar,2023,0.8971636368656567,0.45477077620023654,0.4539942517114584,0.45052343524943433,0.5413938488036862
kochi,2021,0.8531714420423218,0.47061089730562466,0.44648840309172677,0.46065614808022814,0.5929407920872537
kochi,2022,0.8531714420423218,0.4790645647523783,0.4489657525125201,0.47150459924063276,0.6717120648715663
kochi,2023,0.8531714420423218,0.4772435524624896,0.4488532171907119,0.46625686084038287,0.6403267767149609
gurgaon,2021,0.9090351295935356,0.5492527566749629,0.5653501856746638,0.5510386301593581,0.7284101728693614
gurgaon,2022,0.9090351295935356,0.6632343781246693,0.651612643786495,0.6559775216446855,0.8265794175387324
gurgaon,2023,0.9090351295935356,0.7209235339778981,0.5844480835277946,0.6671592351848259,0.8381055093700083
alwar,2021,0.8687093604256483,0.4360965081603236,0.4355653355136284,0.43047371016796754,0.4883777309104827
alwar,2022,0.8687093604256483,0.43171728817387334,0.434427496390162,0.42838157158056167,0.5299694347960299
alwar,2023,0.8687093604256483,0.44013195352808937,0.4235838403849435,0.4287684786737547,0.5052587345969615
jamshedpur,2021,0.9009039548959925,0.5218236812581426,0.4988722544476923,0.5093671541157059,0.58426350346228
jamshedpur,2022,0.9009039548959925,0.5475037504057723,0.4981530202385656,0.5316953214658784,0.7024206089173275
jamshedpur,2023,0.9009039548959925,0.5506505320466347,0.4927135765551058,0.5250286379100394,0.6751356800368161
firozabad,2021,0.8415264866093515,0.45253758352979934,0.43436213315624006,0.4411761688653721,0.5229327666577317
firozabad,2022,0.8415264866093515,0.45459165884935904,0.43914149968759203,0.4481303707580282,0.5498019901450212
firozabad,2023,0.8415264866093515,0.4566435963004047,0.42498050418922717,0.44328001601818434,0.5213488544078932
