city,year,vehicle,BC_TOTAL,BC_TOTAL_ff,CH4_TOTAL,CH4_TOTAL_ff,CO_TOTAL,CO_TOTAL_ff,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,co2,co2_ff,mean_speed,vkt,weighted_speed,consumption,population_2020,urban_area_km2,gdp_billions,co2_congestion,lat,lon,co2_pc
silchar,2023,truck,5.045691947714336,4.944477884115206,1.3504660854852573,1.3504660854852573,124.8043899458845,121.75716500332126,1.7047788950035134,1.7047788950035134,0.489289117906163,0.489289117906163,497.14010651053104,484.383564113883,25.01247671348204,24.75373288034494,14.705112963256273,14.514604291533184,10.593854771614144,10.430631178230389,16.37984649263707,15.957173501495738,86046.0222041911,83481.48179997424,12.123676071746033,18990113.690008134,13.604012799798396,9907.861874521028,513169,86.63450349283467,2.07866624,2564.5404042168666,24.8273,92.7979,0.1676757992088203
siliguri,2021,car,0.0846537332202549,0.0840308380601571,0.1578203836955107,0.1554619788024967,9.72334640830555,9.263009776152158,0.0605885454510034,0.0602849557885842,0.1396036617582348,0.1384408996348398,1.669227707799421,1.6287830113945152,3.388066622108853,3.3378981160954626,0.9903035161632454,0.9806983474034968,0.5080623356960748,0.5037543600493455,2.6769653947464915,2.658025430840033,9420.10442246715,9039.668910158092,13.5738557565707,24483822.164229937,14.05837806186311,3422.3692144173065,320439,47.01862314751855,1.245393664,380.4355123090572,26.7271,88.3953,0.02939749662952122
siliguri,2021,truck,2.892935450027187,2.796486351012523,0.7834591733639772,0.7834591733639772,71.35698142470531,68.45137494903753,0.989010148572434,0.989010148572434,0.2838561086212016,0.2838561086212016,284.02952711144354,271.86606374214585,14.446870647796684,14.203178355265946,8.470551335035292,8.289499321819054,6.092211079909832,5.936860537614584,9.358655906720632,8.955781601196536,48633.92195106125,46190.88527740033,13.409701275104316,27244033.12284614,14.229981823094622,5288.3287372177465,320439,47.01862314751855,1.245393664,2443.036673660921,26.7271,88.3953,0.1517727927969481
siliguri,2022,car,0.0984417594499975,0.0973314505345629,0.183381069985747,0.1791698041635603,11.21686534713131,10.383834790762087,0.0704662095685478,0.069924107246295,0.1623132399203266,0.1602369635336502,1.9370576825806929,1.8646395067055328,3.93776700587794,3.848397565645901,1.1514176198421644,1.134304761592664,0.5907727209437496,0.5830967872641433,3.1120514119400933,3.0780588103257323,10874.636787356234,10186.147212773634,13.688821133899028,30585487.488221765,14.504371679275948,3717.971440440149,320439,47.01862314751855,1.245393664,688.4895745825997,26.7271,88.3953,0.033936683073396916
siliguri,2022,truck,3.5607853646958096,3.405166876389163,0.9521639651570386,0.9521639651570386,88.07456456210444,83.38310704034718,1.2019768951097445,1.2019768951097445,0.3449797604108792,0.3449797604108792,350.8505867582172,331.21159062525965,17.6723732191278,17.284371850184808,10.37903268956229,10.0877915370736,7.476470521337951,7.226157274244403,11.561415626301692,10.91120609422525,60195.4244584769,56167.036306446695,12.55254554667816,30911111.3261706,13.588401297082193,6400.391446221693,320439,47.01862314751855,1.245393664,4028.388152030202,26.7271,88.3953,0.1878529906112455
siliguri,2023,car,0.1081360561134272,0.1071015277958421,0.2010831040067204,0.1971826441555988,12.171741858525843,11.434919079962704,0.0774417789713616,0.0769396856739006,0.1782475756881141,0.1763245356740173,2.118911256159594,2.052462336801777,4.3187370731903805,4.235291385581017,1.2641914181007636,1.248220285034746,0.6488027345154276,0.64164117244996,3.4179487298371525,3.3870081526878644,11822.538354659122,11214.564262876082,13.93027695991451,32816659.388903625,15.034863104474242,3924.453586325027,320439,47.01862314751855,1.245393664,607.9740917830404,26.7271,88.3953,0.03689481728085259
siliguri,2023,truck,3.56519289612482,3.416282254921864,0.964726010356549,0.964726010356549,87.95043761122896,83.46594142009326,1.217834760601058,1.217834760601058,0.3495311312900356,0.3495311312900356,350.09594364827524,331.3227351708667,17.80364705762708,17.424974164918265,10.437017973318492,10.157073498924303,7.506914102524739,7.266903994512406,11.535929749622364,10.914004675428872,59805.7219844235,56090.92036963689,13.114641044696455,29133510.83258935,14.446309256378388,6280.899389840661,320439,47.01862314751855,1.245393664,3714.801614786608,26.7271,88.3953,0.186636838788111
solapur,2021,car,0.6769889021576799,0.67384408991472,1.2619686697368857,1.2500936761642951,78.72663763093236,76.45621295836207,0.484738047942635,0.4832094192917144,1.1166991874114387,1.110844470614221,13.360882105887608,13.158089184601746,27.07046151145339,26.81693575805369,7.917042624967705,7.868513169328334,4.062323732346727,4.040561053411639,21.43205391567909,21.33743011554564,76125.36651981047,74206.06805293517,12.437545102089915,47496083.555996366,12.991097470693056,29638.84764819086,1120562,199.95183732035647,6.016082944,1919.2984668753047,17.6599,75.9064,0.06793498844312985
solapur,2021,truck,23.83995433484858,23.438104548328926,6.63038263639892,6.63038263639892,584.5382993452915,572.4273416887492,8.369952052715973,8.369952052715973,2.4022625272949765,2.4022625272949765,2322.713407656748,2272.015058570294,120.61852146452686,119.61085535863862,70.47571528221007,69.7226748567115,50.521360300944046,49.8746050469886,76.5174522288638,74.83863204701171,395820.22548986174,385375.16831010673,14.074537995248326,51741314.76790556,14.908725750752794,43085.64483374661,1120562,199.95183732035647,6.016082944,10445.057179755007,17.6599,75.9064,0.3532336680075371
solapur,2022,car,0.8369917824396809,0.8323364876750866,1.5483762467536832,1.531087962445314,93.40611378657766,90.53394467864877,0.6006973691506373,0.5984719054855422,1.3792616785610716,1.3707380521762198,16.2386679931698,15.951222207252965,33.220193126728674,32.842712199583225,9.765417871524685,9.693253130811232,5.016844842754718,4.984511046638604,26.503078504147787,26.372097251227505,90852.06434530008,88386.64660736211,13.688080229363209,56628481.39723832,14.548527770627569,32983.85254891104,1120562,199.95183732035647,6.016082944,2465.417737937969,17.6599,75.9064,0.0810772311976491
